sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,094,345,,भदौली बुजुर्ग,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,346,,भरतपुरी कालोनी,दिल्ली दरवाजा,नगरीय,10100,12300,14400,52200,48200,44100,,,,,,,
sadar,094,347,,भिटौरा,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,348,,भीखापुर,हवेली अवध,अर्द्धनगरीय,8200,9000,9900,46700,42700,38600,328,268,243,238,328,149,
sadar,095,349,,भैरीपुर उपरहार,अमसिन,ग्रामीण,3800,4400,4700,36100,32600,29100,103,85,76,74,103,48,
sadar,095,350,,भैरीपुर मांझा,अमसिन,ग्रामीण,1800,2000,2300,32300,28800,25300,25,20,19,18,25,13,
sadar,095,351,,भोया,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,095,352,,मक्खापुर,हवेली अवध,अर्द्धनगरीय,5500,6200,6700,41500,37500,33400,208,170,152,148,208,92,
sadar,095,353,,मछरहटा(मछली बाजार),अंगूरीबाग,नगरीय,11400,13900,14900,52800,48800,44700,,,,,,,
sadar,095,354,,मछुवाना,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,095,355,,मड़ना उपरहार,अमसिन,ग्रामीण,2800,3000,3500,33600,30100,26600,73,61,55,54,73,34,
sadar,095,356,,मड़ना मांझा,अमसिन,ग्रामीण,2000,2200,2600,32300,28800,25300,29,23,21,20,29,14,
sadar,095,357,,मदरहिया,वासूपुर सिरसा उर्फ जयसिंहपुर,नगरीय,8800,9700,10800,43100,39100,35000,,,,,,,
sadar,095,358,,मयाभीखी,अमसिन,ग्रामीण,3800,4400,4700,36100,32600,29100,103,85,76,74,103,48,
sadar,095,359,,मलखानपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,095,360,,मलिक पट्टी,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,095,361,,मलिकपुर,हवेली अवध,अर्द्धनगरीय,4400,4600,5300,39600,35600,31500,65,53,45,44,65,30,
sadar,095,362,,मस्तान का पुरवा,सहादतगंज,नगरीय,10500,11500,12300,49200,45200,41100,,,,,,,
sadar,095,363,,महाजनी टोला,रिकाबगंज,नगरीय,11500,13600,14200,51500,47500,43400,,,,,,,
sadar,095,364,,महिमापुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,095,365,,महेशपुर,हवेली अवध,अधिसूचित,2000,2300,2800,35500,31800,27700,57,46,41,39,57,26,
sadar,095,366,,माझा आलापुर,अमसिन,ग्रामीण,1800,2000,2300,32300,28800,25300,25,20,19,18,25,13,
sadar,095,367,,माझा जमथरा,हवेली अवध,नगरीय,10800,11400,12100,48000,44000,39900,279,228,201,196,279,127,
sadar,095,368,,माझा पिपरी संग्राम,हवेली अवध,अधिसूचित,2200,2500,2800,34900,31200,27100,31,24,23,22,31,15,
